Operand,Value,Delta
Scramble,282176.0,-40806.0
Scramble,311753.0,-70383.0
Inversion,247646.0,-6276.0
Swap,266759.0,-25389.0
Swap,248629.0,-7259.0
Swap,297596.0,-56226.0
Inversion,311753.0,-70383.0
Scramble,247646.0,-6276.0
Scramble,272808.0,-31438.0
Inversion,247646.0,-6276.0
Inversion,247646.0,-6276.0
Swap,272808.0,-31438.0
Inversion,272808.0,-31438.0
Scramble,272808.0,-31438.0
Scramble,283032.0,-41662.0
Swap,264899.0,-23529.0
Swap,264899.0,-23529.0
Swap,257873.0,-16503.0
Swap,289963.0,-48593.0
Inversion,247646.0,-6276.0
Scramble,272808.0,-31438.0
Swap,267247.0,-25877.0
Inversion,247646.0,-6276.0
Swap,274818.0,-33448.0
Scramble,278242.0,-36872.0
Swap,297596.0,-56226.0
Inversion,274818.0,-33448.0
Inversion,297596.0,-56226.0
Swap,297596.0,-56226.0
Swap,247646.0,-6276.0
Scramble,267247.0,-25877.0
Swap,267247.0,-25877.0
Inversion,247646.0,-6276.0
Scramble,262014.0,-20644.0
Inversion,247646.0,-6276.0
Inversion,247646.0,-6276.0
Swap,247646.0,-6276.0
Swap,297596.0,-56226.0
Swap,247646.0,-6276.0
Scramble,294685.0,-53315.0
Scramble,297596.0,-56226.0
Inversion,247646.0,-6276.0
Swap,252088.0,-10718.0
Inversion,247646.0,-6276.0
Swap,247646.0,-6276.0
Scramble,272808.0,-31438.0
Inversion,247646.0,-6276.0
Scramble,272808.0,-31438.0
Swap,297596.0,-56226.0
Scramble,293778.0,-52408.0
Inversion,272808.0,-31438.0
Inversion,247646.0,-6276.0
Swap,272188.0,-30818.0
Scramble,282181.0,-40811.0
Scramble,257130.0,-15760.0
Swap,267247.0,-25877.0
Inversion,282181.0,-40811.0
Swap,274889.0,-33519.0
Swap,288248.0,-46878.0
Scramble,277992.0,-36622.0
Scramble,282513.0,-41143.0
Inversion,247646.0,-6276.0
Scramble,247468.0,-7684.0
Swap,250371.0,-10587.0
Swap,257130.0,-17346.0
Scramble,266870.0,-27086.0
Inversion,247646.0,-7862.0
Swap,247646.0,-7862.0
Scramble,274280.0,-34496.0
Inversion,247646.0,-7862.0
Inversion,266870.0,-27086.0
Swap,267247.0,-27463.0
Scramble,281599.0,-41815.0
Scramble,283967.0,-44183.0
Swap,297593.0,-57809.0
Inversion,245500.0,-5716.0
Inversion,245500.0,-5716.0
Swap,257130.0,-17346.0
Swap,251400.0,-11616.0
Inversion,251400.0,-11616.0
Inversion,245500.0,-5716.0
Scramble,267600.0,-27816.0
Swap,266710.0,-26926.0
Inversion,247468.0,-7684.0
Swap,281002.0,-41218.0
Inversion,245500.0,-5716.0
Scramble,285988.0,-46204.0
Swap,291137.0,-51353.0
Inversion,285988.0,-46204.0
Inversion,245500.0,-5716.0
Inversion,242589.0,-2805.0
Scramble,245500.0,-5716.0
Scramble,245500.0,-5716.0
Inversion,245500.0,-5716.0
Inversion,245500.0,-5716.0
Swap,278013.0,-38229.0
Swap,256492.0,-16708.0
Inversion,245500.0,-5716.0
Swap,247492.0,-7708.0
Scramble,271282.0,-31498.0
Swap,291751.0,-51967.0
Inversion,245500.0,-5716.0
Scramble,245500.0,-5716.0
Scramble,290498.0,-50714.0
Scramble,238834.0,950.0
Scramble,288196.0,-49362.0
Swap,275741.0,-36907.0
Inversion,242589.0,-3755.0
Scramble,286416.0,-47582.0
Swap,243527.0,-4693.0
Inversion,242589.0,-3755.0
Swap,290498.0,-51664.0
Scramble,265111.0,-26277.0
Inversion,242589.0,-3755.0
Scramble,251713.0,-12879.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Scramble,248094.0,-9260.0
Swap,243741.0,-4907.0
Scramble,257913.0,-19079.0
Scramble,245500.0,-6666.0
Swap,265111.0,-26277.0
Swap,261988.0,-23154.0
Swap,266870.0,-28036.0
Scramble,245500.0,-6666.0
Swap,245459.0,-6625.0
Scramble,294478.0,-55644.0
Swap,245500.0,-6666.0
Inversion,294478.0,-55644.0
Swap,275741.0,-36907.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Swap,289381.0,-50547.0
Inversion,242589.0,-3755.0
Inversion,242589.0,-3755.0
Scramble,243741.0,-4907.0
Inversion,289381.0,-50547.0
Scramble,269677.0,-30843.0
Scramble,300713.0,-61879.0
Inversion,243741.0,-4907.0
Swap,302233.0,-63399.0
Swap,285342.0,-46508.0
Swap,245500.0,-6666.0
Swap,265111.0,-26277.0
Inversion,242589.0,-3755.0
Swap,254624.0,-15790.0
Scramble,284861.0,-46027.0
Swap,292650.0,-53816.0
Scramble,256492.0,-17658.0
Scramble,279636.0,-40802.0
Inversion,242589.0,-3755.0
Swap,254483.0,-15649.0
Inversion,242589.0,-3755.0
Inversion,254483.0,-15649.0
Scramble,254802.0,-15968.0
Inversion,242589.0,-3755.0
Swap,290946.0,-52112.0
Swap,265111.0,-26277.0
Scramble,242589.0,-3755.0
Scramble,284150.0,-45316.0
Swap,251541.0,-12707.0
Inversion,242589.0,-3755.0
Scramble,248094.0,-9260.0
Swap,301108.0,-62274.0
Inversion,265111.0,-26277.0
Inversion,242589.0,-3755.0
Scramble,242589.0,-3755.0
Swap,243741.0,-4907.0
Swap,267346.0,-28512.0
Inversion,242589.0,-3755.0
Swap,254483.0,-15649.0
Scramble,250376.0,-11542.0
Scramble,242589.0,-3755.0
Swap,290946.0,-52112.0
Swap,302233.0,-63399.0
Scramble,318426.0,-79592.0
