Operand,Value,Delta
PMX,247646.0,-6276.0
OX,250662.0,-9292.0
OX,247646.0,-6276.0
PMX,247646.0,-6276.0
OX,247646.0,-6276.0
CX,289308.0,-47938.0
CX,289308.0,-47938.0
OX,287270.0,-45900.0
CX,247646.0,-6276.0
PMX,247646.0,-6276.0
PMX,247646.0,-6276.0
CX,247646.0,-6276.0
PMX,247646.0,-6276.0
CX,257873.0,-16503.0
CX,257873.0,-16503.0
OX,247646.0,-6276.0
PMX,257873.0,-16503.0
PMX,247646.0,-6276.0
OX,247646.0,-6276.0
PMX,247646.0,-6276.0
CX,247646.0,-6276.0
PMX,247646.0,-6276.0
PMX,291268.0,-49898.0
PMX,247646.0,-6276.0
OX,276613.0,-35243.0
CX,303710.0,-62340.0
OX,281963.0,-40593.0
CX,293880.0,-52510.0
OX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,247646.0,-6276.0
PMX,253151.0,-11781.0
CX,247646.0,-6276.0
PMX,247646.0,-6276.0
PMX,253151.0,-11781.0
OX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,271195.0,-29825.0
OX,247646.0,-6276.0
OX,280370.0,-39000.0
PMX,298669.0,-57299.0
CX,290470.0,-49100.0
OX,250371.0,-9001.0
PMX,268777.0,-27407.0
CX,247646.0,-6276.0
OX,270026.0,-28656.0
CX,297596.0,-56226.0
PMX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,297596.0,-56226.0
PMX,247646.0,-6276.0
PMX,247646.0,-6276.0
OX,247646.0,-6276.0
OX,283714.0,-42344.0
OX,282797.0,-41427.0
PMX,295370.0,-54000.0
PMX,247646.0,-6276.0
OX,247646.0,-6276.0
CX,282176.0,-40806.0
OX,271546.0,-30176.0
CX,282176.0,-40806.0
OX,247646.0,-6276.0
OX,300518.0,-59148.0
CX,307327.0,-65957.0
PMX,247646.0,-6276.0
PMX,264351.0,-22981.0
CX,247646.0,-6276.0
PMX,247646.0,-6276.0
OX,247646.0,-6276.0
PMX,247646.0,-6276.0
OX,247646.0,-6276.0
PMX,247646.0,-6276.0
CX,272808.0,-31438.0
CX,247646.0,-6276.0
OX,247646.0,-6276.0
OX,247646.0,-6276.0
CX,247646.0,-6276.0
OX,247646.0,-6276.0
PMX,272808.0,-31438.0
OX,247646.0,-6276.0
PMX,247646.0,-6276.0
PMX,247646.0,-6276.0
PMX,283714.0,-42344.0
PMX,247646.0,-6276.0
CX,264899.0,-23529.0
PMX,257873.0,-16503.0
OX,247646.0,-6276.0
PMX,247646.0,-6276.0
OX,247646.0,-6276.0
PMX,247646.0,-6276.0
CX,282093.0,-40723.0
PMX,297596.0,-56226.0
OX,247646.0,-6276.0
OX,283967.0,-42597.0
PMX,297596.0,-56226.0
PMX,297596.0,-56226.0
PMX,247646.0,-6276.0
PMX,247646.0,-6276.0
PMX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,247646.0,-6276.0
OX,247646.0,-6276.0
PMX,247646.0,-6276.0
PMX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,247646.0,-6276.0
PMX,247646.0,-6276.0
OX,247646.0,-6276.0
OX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,247646.0,-6276.0
OX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,297596.0,-56226.0
OX,247646.0,-6276.0
OX,294685.0,-53315.0
PMX,247646.0,-6276.0
PMX,247646.0,-6276.0
OX,260655.0,-19285.0
CX,247646.0,-6276.0
PMX,247646.0,-6276.0
CX,297596.0,-56226.0
CX,257130.0,-15760.0
CX,257130.0,-15760.0
CX,257130.0,-15760.0
CX,289759.0,-48389.0
OX,285005.0,-43635.0
CX,247646.0,-6276.0
OX,247646.0,-6276.0
OX,247646.0,-6276.0
OX,277992.0,-36622.0
PMX,247646.0,-6276.0
CX,247646.0,-6276.0
CX,247646.0,-6276.0
PMX,247468.0,-6098.0
CX,247646.0,-6276.0
CX,247646.0,-7862.0
PMX,247646.0,-7862.0
OX,247646.0,-7862.0
PMX,247646.0,-7862.0
CX,247646.0,-7862.0
PMX,250371.0,-10587.0
PMX,247646.0,-7862.0
PMX,247646.0,-7862.0
PMX,257130.0,-17346.0
CX,274280.0,-34496.0
OX,247646.0,-7862.0
OX,247646.0,-7862.0
CX,247468.0,-7684.0
CX,245500.0,-5716.0
OX,247646.0,-7862.0
OX,245500.0,-5716.0
OX,247646.0,-7862.0
OX,290350.0,-50566.0
PMX,297596.0,-57812.0
OX,290565.0,-50781.0
OX,245500.0,-5716.0
OX,245500.0,-5716.0
CX,245500.0,-5716.0
PMX,245500.0,-5716.0
OX,275741.0,-35957.0
PMX,245500.0,-5716.0
OX,273051.0,-33267.0
CX,281002.0,-41218.0
OX,247468.0,-7684.0
CX,266710.0,-26926.0
PMX,245500.0,-5716.0
OX,245500.0,-5716.0
OX,245500.0,-5716.0
PMX,278013.0,-38229.0
OX,245500.0,-5716.0
PMX,256492.0,-16708.0
CX,242589.0,-2805.0
OX,271282.0,-31498.0
CX,256492.0,-16708.0
PMX,276804.0,-37020.0
CX,242589.0,-3755.0
